timestamp,pressure_van1,pressure_van2
2025-08-21 00:13:41.194,0.0,1.07
2025-08-21 00:13:41.218,0.0,0.0
2025-08-21 00:13:41.240,0.0,0.0
2025-08-21 00:13:41.264,0.0,0.0
2025-08-21 00:13:41.287,0.0,0.0
2025-08-21 00:13:41.311,0.0,2.23
2025-08-21 00:13:41.333,0.0,0.0
2025-08-21 00:13:41.357,0.0,0.0
2025-08-21 00:13:41.396,0.0,2.49
2025-08-21 00:13:41.501,0.0,0.0
2025-08-21 00:13:41.605,0.0,0.0
2025-08-21 00:13:41.710,0.0,0.0
2025-08-21 00:13:41.814,0.0,0.0
2025-08-21 00:13:41.919,0.0,0.0
2025-08-21 00:13:42.023,0.0,0.0
2025-08-21 00:13:42.128,0.0,0.0
2025-08-21 00:13:42.233,0.0,0.0
2025-08-21 00:13:42.337,0.0,3.11
2025-08-21 00:13:42.442,0.0,0.0
2025-08-21 00:13:42.547,0.0,2.94
2025-08-21 00:13:42.651,0.0,0.0
2025-08-21 00:13:42.757,0.0,0.0
2025-08-21 00:13:42.862,0.0,0.0
2025-08-21 00:13:42.968,0.0,0.0
2025-08-21 00:13:43.072,0.0,0.0
2025-08-21 00:13:43.177,0.0,0.0
2025-08-21 00:13:43.282,0.0,0.0
2025-08-21 00:13:43.387,0.0,0.0
2025-08-21 00:13:43.491,0.0,0.0
2025-08-21 00:13:43.596,0.0,1.59
2025-08-21 00:13:43.701,0.0,0.0
2025-08-21 00:13:43.806,0.0,0.0
2025-08-21 00:13:43.910,0.0,1.07
2025-08-21 00:13:44.015,0.0,0.0
2025-08-21 00:13:44.120,0.0,0.0
2025-08-21 00:13:44.226,0.0,0.0
2025-08-21 00:13:44.331,0.0,0.0
2025-08-21 00:13:44.435,0.0,0.0
2025-08-21 00:13:44.540,0.0,0.0
2025-08-21 00:13:44.645,0.0,1.14
2025-08-21 00:13:44.750,0.0,0.0
2025-08-21 00:13:44.855,0.0,0.0
2025-08-21 00:13:44.960,0.0,1.66
2025-08-21 00:13:45.065,0.0,0.0
2025-08-21 00:13:45.170,1.25,0.0
2025-08-21 00:13:45.275,0.0,0.0
2025-08-21 00:13:45.380,0.0,0.0
2025-08-21 00:13:45.485,0.0,0.0
2025-08-21 00:13:45.589,0.0,0.0
2025-08-21 00:13:45.694,1.25,0.0
2025-08-21 00:13:45.799,0.0,2.84
2025-08-21 00:13:45.904,0.0,3.52
2025-08-21 00:13:46.009,1.15,0.0
2025-08-21 00:13:46.114,0.0,0.0
2025-08-21 00:13:46.219,0.0,0.0
2025-08-21 00:13:46.324,0.0,0.0
2025-08-21 00:13:46.429,0.0,4.76
2025-08-21 00:13:46.534,0.0,1.17
2025-08-21 00:13:46.639,0.0,3.0
2025-08-21 00:13:46.744,0.0,0.0
2025-08-21 00:13:46.849,0.0,0.0
2025-08-21 00:13:46.953,0.0,0.0
2025-08-21 00:13:47.058,0.0,0.0
2025-08-21 00:13:47.163,0.0,0.0
2025-08-21 00:13:47.268,0.0,0.0
2025-08-21 00:13:47.373,0.0,1.83
2025-08-21 00:13:47.478,0.0,0.0
2025-08-21 00:13:47.582,0.0,0.0
2025-08-21 00:13:47.687,0.0,0.0
2025-08-21 00:13:47.792,0.0,0.0
2025-08-21 00:13:47.896,1.19,0.0
2025-08-21 00:13:48.001,0.0,1.46
2025-08-21 00:13:48.106,0.0,0.0
2025-08-21 00:13:48.211,0.0,0.0
2025-08-21 00:13:48.316,0.0,1.27
2025-08-21 00:13:48.420,0.0,0.0
2025-08-21 00:13:48.525,0.0,0.0
2025-08-21 00:13:48.630,0.0,0.0
2025-08-21 00:13:48.735,0.0,0.0
2025-08-21 00:13:48.835,0.0,0.0
2025-08-21 00:13:48.940,0.0,0.0
2025-08-21 00:13:49.046,0.0,2.57
2025-08-21 00:13:49.151,0.0,0.0
2025-08-21 00:13:49.255,0.0,0.0
2025-08-21 00:13:49.360,0.0,0.0
2025-08-21 00:13:49.465,0.0,0.0
2025-08-21 00:13:49.570,0.0,3.9
2025-08-21 00:13:49.675,0.0,0.0
2025-08-21 00:13:49.780,0.0,0.0
2025-08-21 00:13:49.884,0.0,0.0
2025-08-21 00:13:49.989,0.0,0.0
2025-08-21 00:13:50.094,0.0,0.0
2025-08-21 00:13:50.199,0.0,1.22
2025-08-21 00:13:50.304,0.0,0.0
2025-08-21 00:13:50.409,0.0,1.42
2025-08-21 00:13:50.514,0.0,0.0
2025-08-21 00:13:50.620,0.0,2.74
2025-08-21 00:13:50.724,0.0,1.21
2025-08-21 00:13:50.830,0.0,3.64
2025-08-21 00:13:50.934,0.0,0.0
2025-08-21 00:13:51.039,0.0,0.0
2025-08-21 00:13:51.144,0.0,0.0
2025-08-21 00:13:51.249,0.0,0.0
2025-08-21 00:13:51.353,0.0,0.0
2025-08-21 00:13:51.458,0.0,0.0
2025-08-21 00:13:51.563,0.0,0.0
2025-08-21 00:13:51.668,0.0,0.0
2025-08-21 00:13:51.773,0.0,0.0
2025-08-21 00:13:51.902,0.0,0.0
2025-08-21 00:13:51.982,0.0,0.0
2025-08-21 00:13:52.087,0.0,0.0
2025-08-21 00:13:52.191,0.0,2.0
2025-08-21 00:13:52.297,0.0,0.0
2025-08-21 00:13:52.401,0.0,0.0
2025-08-21 00:13:52.506,0.0,0.0
2025-08-21 00:13:52.611,0.0,0.0
2025-08-21 00:13:52.716,0.0,0.0
2025-08-21 00:13:52.820,0.0,0.0
2025-08-21 00:13:52.925,0.0,0.0
2025-08-21 00:13:53.030,0.0,0.0
2025-08-21 00:13:53.135,0.0,0.0
2025-08-21 00:13:53.240,0.0,0.0
2025-08-21 00:13:53.344,0.0,0.0
2025-08-21 00:13:53.449,0.0,0.0
2025-08-21 00:13:53.554,0.0,0.0
2025-08-21 00:13:53.658,0.0,0.0
2025-08-21 00:13:53.763,0.0,2.12
2025-08-21 00:13:53.868,0.0,0.0
2025-08-21 00:13:53.973,0.0,1.14
2025-08-21 00:13:54.078,0.0,0.0
2025-08-21 00:13:54.183,0.0,0.0
2025-08-21 00:13:54.288,0.0,0.0
2025-08-21 00:13:54.393,1.15,4.17
2025-08-21 00:13:54.497,0.0,0.0
2025-08-21 00:13:54.603,0.0,0.0
2025-08-21 00:13:54.707,0.0,1.53
2025-08-21 00:13:54.812,0.0,0.0
2025-08-21 00:13:54.917,0.0,0.0
2025-08-21 00:13:55.022,0.0,0.0
2025-08-21 00:13:55.126,0.0,0.0
2025-08-21 00:13:55.231,0.0,0.0
2025-08-21 00:13:55.335,0.0,0.0
2025-08-21 00:13:55.440,0.0,0.0
2025-08-21 00:13:55.545,0.0,2.1
2025-08-21 00:13:55.650,0.0,0.0
2025-08-21 00:13:55.755,0.0,0.0
2025-08-21 00:13:55.859,0.0,0.0
2025-08-21 00:13:55.964,0.0,2.33
2025-08-21 00:13:56.069,0.0,0.0
2025-08-21 00:13:56.173,0.0,0.0
2025-08-21 00:13:56.278,0.0,0.0
2025-08-21 00:13:56.383,0.0,0.0
2025-08-21 00:13:56.487,0.0,0.0
2025-08-21 00:13:56.592,0.0,0.0
2025-08-21 00:13:56.697,0.0,1.29
2025-08-21 00:13:56.802,0.0,0.0
2025-08-21 00:13:56.906,0.0,0.0
2025-08-21 00:13:57.012,0.0,0.0
2025-08-21 00:13:57.116,0.0,0.0
2025-08-21 00:13:57.221,0.0,0.0
2025-08-21 00:13:57.326,0.0,0.0
2025-08-21 00:13:57.431,0.0,0.0
2025-08-21 00:13:57.535,0.0,0.0
2025-08-21 00:13:57.640,0.0,1.08
2025-08-21 00:13:57.745,0.0,2.02
2025-08-21 00:13:57.850,0.0,0.0
2025-08-21 00:13:57.955,0.0,0.0
2025-08-21 00:13:58.059,0.0,0.0
2025-08-21 00:13:58.164,0.0,3.77
2025-08-21 00:13:58.269,0.0,0.0
2025-08-21 00:13:58.373,0.0,0.0
2025-08-21 00:13:58.478,0.0,2.77
2025-08-21 00:13:58.583,0.0,0.0
2025-08-21 00:13:58.687,0.0,0.0
2025-08-21 00:13:58.792,0.0,0.0
2025-08-21 00:13:58.896,0.0,2.82
2025-08-21 00:13:59.002,0.0,0.0
2025-08-21 00:13:59.107,0.0,3.76
2025-08-21 00:13:59.211,0.0,0.0
2025-08-21 00:13:59.316,1.18,0.0
2025-08-21 00:13:59.421,0.0,0.0
2025-08-21 00:13:59.526,0.0,0.0
2025-08-21 00:13:59.630,0.0,0.0
2025-08-21 00:13:59.735,0.0,0.0
2025-08-21 00:13:59.840,0.0,0.0
2025-08-21 00:13:59.944,0.0,1.46
2025-08-21 00:14:00.049,0.0,0.0
2025-08-21 00:14:00.154,0.0,0.0
2025-08-21 00:14:00.259,0.0,3.36
2025-08-21 00:14:00.364,0.0,0.0
2025-08-21 00:14:00.468,0.0,0.0
2025-08-21 00:14:00.573,0.0,0.0
2025-08-21 00:14:00.678,0.0,2.9
2025-08-21 00:14:00.783,0.0,1.62
2025-08-21 00:14:00.888,0.0,0.0
2025-08-21 00:14:00.992,0.0,0.0
2025-08-21 00:14:01.097,0.0,0.0
2025-08-21 00:14:01.202,0.0,0.0
2025-08-21 00:14:01.307,0.0,2.37
2025-08-21 00:14:01.412,0.0,0.0
2025-08-21 00:14:01.517,0.0,0.0
2025-08-21 00:14:01.621,0.0,0.0
2025-08-21 00:14:01.726,0.0,0.0
2025-08-21 00:14:01.831,0.0,0.0
2025-08-21 00:14:01.936,0.0,1.66
2025-08-21 00:14:02.041,0.0,1.53
2025-08-21 00:14:02.145,0.0,0.0
2025-08-21 00:14:02.250,0.0,0.0
2025-08-21 00:14:02.355,0.0,2.91
2025-08-21 00:14:02.460,0.0,0.0
2025-08-21 00:14:02.564,0.0,0.0
2025-08-21 00:14:02.669,0.0,0.0
2025-08-21 00:14:02.774,0.0,1.88
2025-08-21 00:14:02.879,0.0,0.0
2025-08-21 00:14:02.984,0.0,0.0
2025-08-21 00:14:03.089,0.0,0.0
2025-08-21 00:14:03.194,0.0,0.0
2025-08-21 00:14:03.298,0.0,0.0
2025-08-21 00:14:03.403,0.0,1.07
2025-08-21 00:14:03.508,0.0,0.0
2025-08-21 00:14:03.613,0.0,0.0
2025-08-21 00:14:03.718,0.0,0.0
2025-08-21 00:14:03.822,0.0,0.0
2025-08-21 00:14:03.927,0.0,0.0
2025-08-21 00:14:04.032,0.0,2.68
2025-08-21 00:14:04.137,0.0,1.61
2025-08-21 00:14:04.242,0.0,0.0
2025-08-21 00:14:04.347,0.0,2.17
2025-08-21 00:14:04.452,0.0,0.0
2025-08-21 00:14:04.557,0.0,0.0
2025-08-21 00:14:04.661,0.0,1.28
2025-08-21 00:14:04.766,0.0,0.0
2025-08-21 00:14:04.871,0.0,0.0
2025-08-21 00:14:04.975,0.0,0.0
2025-08-21 00:14:05.080,0.0,1.61
2025-08-21 00:14:05.185,0.0,2.46
2025-08-21 00:14:05.290,0.0,0.0
2025-08-21 00:14:05.395,0.0,0.0
2025-08-21 00:14:05.500,0.0,3.57
2025-08-21 00:14:05.604,0.0,1.46
2025-08-21 00:14:05.709,0.0,0.0
2025-08-21 00:14:05.814,0.0,0.0
2025-08-21 00:14:05.919,0.0,0.0
2025-08-21 00:14:06.024,0.0,0.0
2025-08-21 00:14:06.129,0.0,0.0
2025-08-21 00:14:06.233,0.0,0.0
2025-08-21 00:14:06.338,0.0,0.0
2025-08-21 00:14:06.443,0.0,0.0
2025-08-21 00:14:06.548,0.0,1.51
2025-08-21 00:14:06.652,0.0,0.0
2025-08-21 00:14:06.757,0.0,0.0
2025-08-21 00:14:06.862,0.0,0.0
2025-08-21 00:14:06.966,0.0,0.0
2025-08-21 00:14:07.071,0.0,0.0
2025-08-21 00:14:07.176,0.0,0.0
2025-08-21 00:14:07.281,0.0,0.0
2025-08-21 00:14:07.385,0.0,1.87
2025-08-21 00:14:07.490,0.0,0.0
2025-08-21 00:14:07.595,0.0,0.0
2025-08-21 00:14:07.700,0.0,2.74
2025-08-21 00:14:07.804,0.0,0.0
2025-08-21 00:14:07.909,1.31,0.0
2025-08-21 00:14:08.015,0.0,1.54
2025-08-21 00:14:08.119,0.0,0.0
2025-08-21 00:14:08.224,0.0,0.0
2025-08-21 00:14:08.329,0.0,0.0
2025-08-21 00:14:08.433,0.0,0.0
2025-08-21 00:14:08.538,0.0,0.0
2025-08-21 00:14:08.643,0.0,1.33
2025-08-21 00:14:08.748,0.0,0.0
2025-08-21 00:14:08.853,0.0,3.91
2025-08-21 00:14:08.958,0.0,0.0
2025-08-21 00:14:09.063,0.0,2.16
2025-08-21 00:14:09.168,0.0,0.0
2025-08-21 00:14:09.272,0.0,0.0
2025-08-21 00:14:09.377,0.0,2.28
2025-08-21 00:14:09.481,0.0,0.0
2025-08-21 00:14:09.586,0.0,0.0
2025-08-21 00:14:09.691,0.0,0.0
2025-08-21 00:14:09.795,0.0,3.7
2025-08-21 00:14:09.900,0.0,0.0
2025-08-21 00:14:10.005,0.0,0.0
2025-08-21 00:14:10.110,0.0,0.0
2025-08-21 00:14:10.215,0.0,0.0
2025-08-21 00:14:10.319,0.0,0.0
2025-08-21 00:14:10.424,0.0,0.0
2025-08-21 00:14:10.529,0.0,0.0
2025-08-21 00:14:10.633,0.0,0.0
2025-08-21 00:14:10.738,0.0,3.28
2025-08-21 00:14:10.843,0.0,0.0
2025-08-21 00:14:10.948,0.0,0.0
2025-08-21 00:14:11.052,0.0,0.0
2025-08-21 00:14:11.157,0.0,0.0
2025-08-21 00:14:11.262,0.0,0.0
2025-08-21 00:14:11.367,0.0,0.0
2025-08-21 00:14:11.471,0.0,0.0
2025-08-21 00:14:11.576,0.0,0.0
2025-08-21 00:14:11.681,0.0,0.0
2025-08-21 00:14:11.786,0.0,1.09
2025-08-21 00:14:11.890,0.0,0.0
2025-08-21 00:14:11.995,0.0,0.0
2025-08-21 00:14:12.100,0.0,0.0
2025-08-21 00:14:12.204,0.0,0.0
2025-08-21 00:14:12.309,0.0,0.0
2025-08-21 00:14:12.414,0.0,0.0
2025-08-21 00:14:12.519,0.0,0.0
2025-08-21 00:14:12.624,0.0,0.0
2025-08-21 00:14:12.728,0.0,0.0
