Time (s),Fx (N),Fy (N),Fz (N)
563.7,0.0026225389180215483,-0.004175934358708708,0.01493717099241354
573.9,-0.0005404811023683245,-0.00212031139923604,0.014830885958489581
583.1,0.0026421957668627608,-0.0017829729509998976,0.011048297281095909
593.3,-0.00048589884127014926,-0.003203738939881781,0.01495131866257604
603.5,0.00047242503265880476,-0.0026839040935048714,0.019855031311470928
615.1,-0.001544485777262107,-0.00414428289231826,0.014881122686010495
625.2,-0.00048065920570988796,-0.003405221615796719,0.016154330825910668
634.6,-0.0015126798131069596,0.0023954185201149475,0.01090703423963435
645.0,-0.0005170145078213159,-0.0009284063358827241,0.012258232065449737
653.7,-0.0004701536373754797,0.001798271128687065,0.014685303677119732
665.1,-0.0005399288686838699,-0.0022729872427460288,0.016012781802934528
675.2,-0.0005148187276462143,-0.0021378349190728577,0.01482394032354517
684.7,0.000527125633134333,-0.0015171814885053744,0.01478701306318242
695.8,0.0005781381111148037,0.004971507448823451,0.01580393274109082
706.2,-0.001489361139327322,0.002402298416516041,0.01088953044561558
716.7,-0.0005059731452651609,0.00046426810323762363,0.012220473169330393
727.1,0.0005824080486755839,-0.0015682597055645259,0.013534191513221439
737.5,-0.0014664204820497712,-0.0003776629078335453,0.012179529089910268
750.1,-0.0004192627821873948,0.004166050077796468,0.008301065610979208
759.9,-0.0025007552089892846,0.004382255665907719,0.009554975197706539
770.9,-0.00041487122183740677,0.001747192911631515,0.013432482127292644
779.8,-0.00038974464134404474,0.005540487696960875,0.011994268240373085
790.4,-0.0036185526452335373,0.00244369612906456,0.014609831904524806
803.4,-0.003491374820340655,0.003726555195687313,0.009578011188918545
813.7,-0.00038197722990307437,0.004323400175360634,0.012071557778294162
824.1,-0.0004499905752810701,0.0014455392093377512,0.009594397365144114
834.1,-0.0015256605636873866,-0.0003105535133871157,0.01467128092014991
844.3,-0.00046402977243046456,0.0016379363464023716,0.013378780801608814
