Time(s), Force_Z
0.3048, -0.00374363
0.3048, 0.00248887
0.3048, 0.00380509
0.3048, 0.00006797
0.3048, -0.00371975
0.3048, 0.00121564
0.3048, -0.00374000
0.3060, -0.00007603
0.3060, 0.00018635
0.3060, 0.00379609
0.3060, 0.00245638
0.3060, 0.00506842
0.3060, -0.00514838
0.3060, 0.00232999
0.3060, -0.00376372
0.3060, -0.00112872
0.3060, 0.00249590
0.3060, 0.00252301
0.3060, 0.00002581
0.3060, -0.00001552
0.3060, 0.00253632
0.3060, -0.00115773
0.3060, -0.00122799
0.3060, -0.00001015
0.3060, 0.00002846
0.3060, 0.00003457
0.3060, 0.00129128
0.3060, 0.00002400
0.3060, 0.00255989
0.3060, 0.00124382
0.3060, 0.00254327
0.3070, -0.00254588
0.3070, -0.00135257
0.3070, -0.00007323
0.3070, 0.00367688
0.3070, -0.00003652
0.3070, 0.00255021
0.3070, -0.00254421
0.3070, 0.00506759
0.3070, -0.00002065
0.3070, 0.00499393
0.3070, 0.00124713
0.3070, -0.00000569
0.3070, 0.00132442
0.3070, -0.00246081
0.3070, 0.00243878
0.3070, 0.00243878
0.3070, 0.00123226
0.3070, -0.00374611
0.3070, 0.00242457
0.3084, -0.00255199
0.3084, 0.00118316
0.3084, -0.00247139
0.3084, 0.00123408
0.3084, -0.00127513
0.3084, 0.00002763
0.3103, -0.00262234
0.3103, -0.00253727
0.3103, 0.00003731
0.3103, 0.00116918
0.3103, 0.00012154
0.3103, 0.00122961
0.3103, -0.00108143
0.3103, 0.00375946
0.3103, -0.00503680
0.3103, -0.00130611
0.3103, 0.00001011
0.3103, 0.00387007
0.3103, 0.00001011
0.3103, 0.00256782
0.3103, -0.00001966
0.3111, -0.00379009
0.3111, -0.00241767
0.3120, 0.00245540
0.3125, -0.00006107
0.3153, 0.00136394
0.3165, -0.00244684
0.3175, -0.00243972
0.3188, 0.00122267
0.3188, 0.00003126
0.3203, 0.00122515
0.3203, 0.00372863
0.3215, 0.00002515
0.3225, 0.00258278
0.3270, -0.00004793
0.3288, 0.00248970
0.3303, -0.00000932
0.3303, 0.00139477
0.3327, -0.00120246
0.3327, -0.00013911
0.3339, 0.00002235
0.3367, 0.00137468
0.3392, 0.00251607
0.3402, 0.00127797
0.3448, -0.00132274
0.3448, 0.00009615
0.3461, -0.00134911
0.3471, -0.00005494
0.3471, -0.00111558
0.3471, -0.00119650
0.3471, -0.00238269
0.3471, 0.00484713
0.3481, -0.00137977
0.3481, -0.00117624
0.3481, 0.00247632
0.3481, -0.00242220
0.3481, -0.00380150
0.3491, -0.00004346
0.3491, -0.00375156
0.3491, 0.00002763
0.3491, 0.00009252
0.3491, 0.00245820
0.3491, -0.00508689
0.3491, 0.00243183
0.3491, 0.00130690
0.3491, 0.00000043
0.3491, 0.00256336
0.3491, -0.00123064
0.3501, 0.00128053
0.3501, -0.00257505
0.3501, 0.00245540
0.3501, 0.00247218
0.3507, 0.00120953
0.3507, 0.00237365
0.3507, 0.00128765
0.3517, 0.00129028
0.3517, 0.00126045
0.3517, 0.00000572
0.3527, 0.00253367
0.3527, 0.00122878
0.3527, 0.00386742
0.3540, 0.00119290
0.3554, 0.00125416
0.3554, -0.00246049
0.3554, -0.00012059
0.3569, 0.00001606
0.3569, -0.00245477
0.3569, -0.00000569
0.3569, -0.00123594
0.3569, 0.00501848
0.3581, -0.00122453
0.3581, -0.00243278
0.3591, 0.00128053
0.3601, -0.00124462
0.3601, -0.00367329
0.3601, 0.00375583
0.3601, -0.00131752
0.3615, -0.00131073
0.3615, -0.00119385
0.3615, -0.00008298
0.3615, -0.00121742
0.3615, -0.00132554
0.3615, 0.00610811
0.3615, -0.00002941
0.3615, -0.00247735
0.3615, 0.00245192
0.3615, -0.00257934
0.3615, -0.00120162
0.3625, 0.00117869
0.3636, 0.00241158
0.3636, -0.00123857
0.3651, 0.00120068
0.3651, 0.00377955
0.3661, 0.00505096
0.3661, -0.00123857
0.3661, 0.00009880
0.3661, -0.00001263
0.3661, 0.00125598
0.3661, -0.00371560
0.3661, 0.00003186
0.3661, -0.00118485
0.3661, 0.00001788
0.3661, -0.00387184
0.3686, 0.00003126
0.3686, -0.00115797
0.3686, 0.00007855
0.3686, -0.00125338
0.3686, 0.00242555
0.3699, -0.00006453
0.3699, 0.00244572
0.3699, -0.00124379
0.3699, 0.00373641
0.3699, 0.00117175
0.3699, -0.00128413
0.3699, -0.00377876
0.3699, -0.00004346
0.3699, 0.00256087
0.3699, 0.00246515
0.3699, -0.00133778
0.3699, 0.00240546
0.3699, 0.00125258
0.3699, 0.00381650
0.3699, 0.00258361
0.3699, -0.00123684
0.3699, -0.00373222
0.3699, -0.00257836
0.3709, -0.00117790
0.3709, -0.00249413
0.3709, -0.00005926
0.3709, -0.00124742
0.3709, -0.00123857
0.3729, -0.00003206
0.3745, -0.00006718
0.3745, 0.00261791
0.3745, -0.00246519
0.3760, 0.00124382
0.3760, 0.00385586
0.3760, 0.00117604
0.3760, -0.00118137
0.3783, 0.00116653
0.3783, 0.00381286
0.3783, 0.00133145
0.3783, 0.00004523
0.3783, 0.00378733
0.3796, -0.00000304
0.3796, -0.00132274
0.3801, -0.00252744
0.3801, 0.00124019
0.3811, -0.00002925
0.3826, -0.00016887
0.3826, -0.00130695
0.3837, 0.00254327
0.3837, 0.00240183
0.3837, -0.00244667
0.3837, 0.00120953
0.3852, 0.00127797
0.3857, -0.00251421
0.3857, 0.00368382
0.3857, 0.00497534
0.3857, 0.00113835
0.3867, 0.00256782
0.3867, 0.00115149
0.3877, -0.00007686
0.3877, 0.00118927
0.3877, 0.00129111
0.3877, -0.00131646
0.3877, -0.00244056
0.3877, -0.00251686
0.3877, -0.00114013
0.3877, -0.00242741
0.3877, 0.00126376
0.3877, -0.00246081
0.3877, 0.00255641
0.3888, 0.00123226
0.3888, -0.00381729
0.3888, -0.00382424
0.3888, 0.00264594
0.3900, 0.00123324
0.3900, 0.00145347
0.3911, -0.00111656
0.3911, 0.00378649
0.3911, -0.00256620
0.3911, -0.00129554
0.3918, 0.00005483
0.3918, -0.00123419
0.3918, -0.00375240
0.3918, 0.00237546
0.3931, -0.00125519
0.3946, -0.00126387
0.3946, -0.00121923
0.3946, 0.00008120
0.3946, 0.00249938
0.3959, 0.00251425
0.3959, -0.00503960
0.4089, -0.00124379
0.4104, -0.00119650
0.4104, -0.00257141
0.4112, -0.00371182
0.4112, 0.00001449
0.4112, -0.00003107
0.4125, 0.00005483
0.4125, -0.00382159
0.4125, 0.00489209
0.4137, 0.00122961
0.4148, 0.00130517
0.4159, -0.00249776
0.4159, 0.00251243
0.4164, -0.00248528
0.4164, 0.00000126
0.4164, -0.00124015
0.4164, -0.00000932
0.4164, -0.00137894
0.4164, 0.00246068
0.4164, 0.00005566
0.4164, 0.00125515
0.4184, 0.00012055
0.4184, 0.00117348
0.4184, -0.00117096
0.4184, 0.00240183
0.4184, -0.00254058
0.4184, -0.00004081
0.4199, -0.00118666
0.4199, -0.00116650
0.4199, 0.00502459
0.4199, 0.00001788
0.4209, -0.00247750
0.4219, 0.00144396
0.4219, -0.00246874
0.4224, 0.00254673
0.4224, 0.00005036
0.4237, 0.00259056
0.4252, -0.00003569
0.4262, -0.00138257
0.4262, 0.00250367
0.4262, -0.00505622
0.4262, -0.00006718
0.4262, -0.00124742
0.4262, 0.00002929
0.4275, -0.00001445
0.4275, 0.00009517
0.4275, -0.00005858
0.4275, 0.00248275
0.4285, -0.00503415
0.4285, 0.00134816
0.4300, -0.00116748
0.4300, 0.00013981
0.4300, -0.00263276
0.4300, -0.00006107
0.4300, 0.00131218
0.4300, -0.00115434
0.4310, 0.00004160
0.4310, -0.00250628
0.4310, 0.00253964
0.4310, -0.00244320
0.4310, -0.00134828
0.4310, -0.00235814
0.4310, -0.00109284
0.4310, 0.00130169
0.4310, -0.00004263
0.4310, -0.00125171
0.4310, 0.00003102
0.4310, 0.00129111
0.4310, -0.00370669
0.4337, 0.00242820
0.4344, 0.00130252
0.4344, 0.00139197
0.4354, -0.00130000
0.4354, 0.00120324
0.4354, 0.00118232
0.4354, -0.00013473
0.4354, -0.00127182
0.4368, 0.00244581
0.4368, 0.00370408
0.4378, -0.00121742
0.4378, 0.00001523
0.4378, -0.00117707
0.4388, 0.00133327
0.4388, 0.00126739
0.4388, 0.00004607
0.4388, -0.00001710
0.4388, 0.00009615
0.4388, 0.00132194
0.4388, 0.00124465
0.4388, -0.00000569
0.4388, 0.00002151
0.4388, 0.00366993
0.4388, 0.00123936
0.4388, -0.00113137
0.4388, -0.00134548
0.4388, 0.00370143
0.4388, -0.00122883
0.4388, 0.00240546
0.4388, 0.00128417
0.4402, 0.00254244
0.4402, -0.00268103
0.4402, 0.00122440
0.4416, -0.00252148
0.4416, -0.00002941
0.4416, 0.00257756
0.4416, -0.00244320
0.4416, 0.00118051
0.4416, 0.00504122
0.4449, -0.00013473
0.4449, 0.00253715
0.4449, 0.00131748
0.4449, -0.00237906
0.4449, 0.00250111
0.4449, 0.00009964
0.4459, 0.00129376
0.4459, 0.00133434
0.4459, -0.00257058
0.4480, 0.00128863
0.4480, 0.00239125
0.4480, -0.00368908
0.4480, 0.00115927
0.4490, -0.00119799
0.4490, 0.00121019
0.4490, 0.00127970
0.4490, -0.00373917
0.4490, -0.00494917
0.4490, 0.00250730
0.4500, 0.00001011
0.4500, 0.00261246
0.4515, 0.00250995
0.4515, 0.00131385
0.4515, 0.00375500
0.4530, -0.00001710
0.4530, 0.00122961
0.4540, -0.00252133
0.4540, 0.00116653
0.4554, -0.00243626
0.4554, -0.00251686
0.4554, 0.00001705
0.4554, -0.00120079
0.4554, -0.00125603
0.4569, -0.00002941
0.4569, 0.00619583
0.4569, 0.00138419
0.4589, -0.00127710
0.4589, -0.00120511
0.4589, 0.00121564
0.4589, -0.00000569
0.4599, -0.00124727
0.4599, 0.00119108
0.4599, -0.00133248
0.4599, 0.00124367
0.4599, -0.00127182
0.4599, -0.00011992
0.4599, -0.00507043
0.4599, -0.00114987
0.4599, 0.00249491
0.4599, 0.00119267
0.4599, -0.00130793
0.4599, 0.00001094
0.4599, 0.00380327
0.4599, -0.00004346
0.4599, 0.00247912
0.4599, -0.00378472
0.4611, 0.00125416
0.4625, 0.00119290
0.4635, -0.00248718
0.4635, 0.00132111
0.4635, 0.00240711
0.4635, -0.00128859
0.4648, -0.00128058
0.4648, -0.00115592
0.4648, 0.00241852
0.4648, -0.00114111
0.4648, 0.00245275
0.4658, 0.00000043
0.4658, 0.00118149
0.4658, 0.00125681
0.4658, 0.00115596
0.4672, 0.00254848
0.4672, 0.00368465
0.4672, 0.00001887
0.4672, 0.00115232
0.4682, -0.00010670
0.4682, -0.00005661
0.4696, 0.00245638
0.4696, -0.00002163
0.4705, -0.00135620
0.4705, -0.00380308
0.4727, 0.00001094
0.4727, 0.00241241
0.4755, -0.00122799
0.4755, 0.00127887
0.4767, -0.00125519
0.4767, 0.00250019
0.4767, 0.00131468
0.4767, -0.00122883
0.4779, -0.00246692
0.4789, -0.00252479
0.4789, 0.00136047
0.4789, 0.00003391
0.4789, 0.00137799
0.4789, -0.00005759
0.4802, 0.00009434
0.4802, 0.00367771
0.4802, -0.00502274
0.4802, -0.00004263
0.4802, 0.00004788
0.4802, 0.00117869
0.4813, 0.00124465
0.4813, 0.00618343
0.4813, -0.00251785
0.4813, 0.00130434
0.4828, -0.00246329
0.4838, 0.00381370
0.4838, 0.00120869
0.4851, 0.00245820
0.4851, -0.00253265
0.4851, -0.00117013
0.4851, -0.00000932
0.4861, 0.00128417
0.4861, 0.00118927
0.4874, 0.00637066
0.4874, -0.00114739
0.4874, 0.00113504
0.4874, -0.00007240
0.4884, -0.00000569
0.4884, -0.00122799
0.4884, -0.00122105
0.4884, -0.00126917
0.4884, -0.00112615
0.4884, 0.00250186
0.4911, -0.00376372
0.4911, 0.00120521
0.4911, 0.00382601
0.4911, -0.00122883
0.4911, -0.00111921
0.4911, 0.00248970
0.4911, 0.00373474
0.4911, 0.00130955
0.4911, 0.00003731
0.4911, 0.00241158
0.4911, 0.00385767
0.4927, -0.00011116
0.4937, 0.00006517
0.4951, -0.00121560
0.4951, -0.00133580
0.4951, -0.00008479
0.4951, 0.00128235
0.4951, 0.00372780
0.4951, 0.00129111
0.4964, 0.00004160
0.4964, -0.00237301
0.4964, -0.00128240
0.4964, -0.00380513
0.4964, 0.00000572
0.4974, 0.00004425
0.4974, 0.00255021
0.4974, 0.00123226
0.4984, -0.00246859
0.4984, -0.00123494
0.4984, 0.00123936
0.4984, 0.00253004
